Iteration: 00001250/00170000  content_loss:0.0000  lap_loss:0.0585  rec_loss:0.0596  style_loss:1.0093  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001260/00170000  content_loss:0.0000  lap_loss:0.0149  rec_loss:0.0391  style_loss:0.5002  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001270/00170000  content_loss:0.0000  lap_loss:0.0375  rec_loss:0.0462  style_loss:0.4971  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001280/00170000  content_loss:0.0000  lap_loss:0.0548  rec_loss:0.0666  style_loss:0.9074  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00001290/00170000  content_loss:0.0000  lap_loss:0.0493  rec_loss:0.0437  style_loss:0.9263  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00001300/00170000  content_loss:0.0000  lap_loss:0.0605  rec_loss:0.0548  style_loss:0.6758  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
